|name        |t90     |t90_error|flux_1024|flux_1024_error|
|GRB080714086|   5.376|    2.360|   1.5364|         0.1767|
|GRB080714425|  40.192|    1.145|   2.0165|         0.2050|
|GRB080714745|  59.649|   11.276|   6.9258|         0.3875|
|GRB080715950|   7.872|    0.272|   9.9143|         0.2190|
|GRB080717543|  36.608|    2.985|   2.8933|         0.2268|
|GRB080719529|  16.128|   17.887|   1.1226|         0.1635|
|GRB080723557|  58.369|    1.985|  30.4516|         0.4913|
|GRB080723913|   0.192|    0.345|   1.4095|         0.1272|
|GRB080723985|  42.816|    0.659|  10.1219|         0.2771|
|GRB080724401| 379.397|    2.202|  12.2000|         0.2902|
|GRB080725435|  25.920|    1.208|   3.3649|         0.1682|
|GRB080725541|   0.960|    1.292|   1.6901|         0.1291|
|GRB080727964|  89.089|    6.476|   3.5263|         0.1787|
|GRB080730520|  17.408|    6.229|   5.6049|         0.2235|
|GRB080730786|  13.312|    4.222|  14.6150|         0.2252|
|GRB080802386|   0.576|    0.091|   2.9470|         0.1740|
|GRB080803772|  26.240|    1.691|   1.7818|         0.1134|
|GRB080804456| 521.862|    4.291|   2.1713|         0.2065|
|GRB080804972|  24.704|    1.460|   3.8493|         0.1647|
|GRB080805496|  29.440|    3.566|   3.0513|         0.2261|
|GRB080805584|  65.665|   14.676|   1.7727|         0.1748|
|GRB080806584|   2.304|    0.453|   2.3874|         0.1587|
|GRB080806896|  75.777|    4.185|   8.1823|         0.2089|
|GRB080807993|  19.072|    0.181|   8.8811|         0.1770|
|GRB080808451|   4.352|    0.832|   1.7494|         0.1357|
|GRB080808565|  17.728|    1.489|   5.9798|         0.2216|
|GRB080808772| 210.178|    5.976|   1.6941|         0.2189|
|GRB080809808|  28.160|    2.896|   3.7605|         0.2750|
|GRB080810549|  75.201|    3.638|   3.6864|         0.2417|
|GRB080812889|  15.040|    0.462|   1.9102|         0.1728|
|GRB080815917|   0.832|    0.320|   3.2607|         0.2060|
|GRB080816503|  64.769|    1.810|   7.4374|         0.1822|
|GRB080816989|   4.608|    0.453|   5.2126|         0.1274|
|GRB080817161|  60.289|    0.466|  13.6734|         0.2368|
|GRB080817720|   4.416|    0.363|   3.5900|         0.2119|
|GRB080818579|  59.329|    8.749|   4.5796|         0.1906|
|GRB080818945|  13.376|    0.410|   4.0091|         0.1909|
|GRB080821332|   5.888|    0.264|   9.6378|         0.2740|
|GRB080823363|  43.456|    1.717|   4.6246|         0.2112|
|GRB080824909|   7.424|    2.005|   7.2614|         0.2307|
|GRB080825593|  20.992|    0.231|  25.3033|         0.2723|
|GRB080828189|   3.008|    3.329|   1.4049|         0.1499|
|GRB080829790|   7.680|    0.377|   4.4807|         0.2365|
|GRB080830368|  40.897|    5.069|   4.6662|         0.1830|
|GRB080831053|   0.576|    1.168|   0.3281|         0.2020|
|GRB080831921|  74.497|    1.243|   2.8492|         0.2051|
|GRB080904886|  17.344|    1.385|  15.8351|         0.2729|
|GRB080905499|   0.960|    0.345|   2.3411|         0.1351|
|GRB080905570|  26.624|    2.896|   5.3627|         0.2744|
|GRB080905705| 105.984|    6.802|   2.3229|         0.2291|
|GRB080906212|   2.875|    0.767|  20.2933|         0.3326|
|GRB080912360|  16.384|    2.896|   2.4847|         0.1451|
|GRB080913735|  41.217|    7.281|   3.4050|         0.1824|
|GRB080916009|  62.977|    0.810|  13.6635|         0.2933|
|GRB080916406|  46.337|    7.173|   4.4700|         0.2880|
|GRB080919790|   0.512|    0.405|   0.6759|         0.1805|
|GRB080920268| 113.921|    3.125|   1.0764|         0.1085|
|GRB080924766|  39.937|    4.222|   4.7582|         0.1900|
|GRB080925775|  31.744|    3.167|  15.4041|         0.2387|
|GRB080927480|  45.313|    3.083|   2.6280|         0.2452|
|GRB080928628|  14.336|    4.007|   3.1868|         0.2252|
|GRB081003644|  50.177|    3.692|   3.0677|         0.2217|
|GRB081006604|   6.400|    0.923|   1.4639|         0.2468|
|GRB081006872|   3.328|    1.305|   1.5316|         0.2502|
|GRB081008832| 126.722|    2.360|   2.7227|         0.2373|
|GRB081009140|  41.345|    0.264| 117.0140|         0.6172|
|GRB081009690|  34.560|    2.064|   6.3882|         0.3252|
|GRB081012045|   1.216|    1.748|   3.3330|         0.2568|
|GRB081012549|  30.721|    5.615|   2.0457|         0.1303|
|GRB081017474|  28.416|    2.757|   2.7458|         0.2462|
